Service_Name (filename2),provider_name (filename1),Physical_Address (filename2),formatted_address (filename1),residential_places (filename2),residential_places (filename1)
Aminya Village Hostel,Aminya Village Hostel,"14 Adelaide ROAD, MANNUM, SA, 5238","14 Adelaide Rd, Mannum SA 5238, Australia",60,60
St Anna's Residential Care Facility,St Anna's Residential Care Facility,"41 Burley Griffin BOULEVARD, BROMPTON, SA, 5007","41 Burley Griffin Blvd, Brompton SA 5007, Australia",60,60
Pennwood Village,Pennwood Village,"19 Windsor AVENUE, PENNINGTON, SA, 5013","19 Windsor Ave, Pennington SA 5013, Australia",60,60
Clayton Church Homes Park Village,Park Village,"30 Shillabeer ROAD, ELIZABETH PARK, SA, 5113","30 Shillabeer Rd, Elizabeth Park SA 5113, Australia",60,60
Sheoak Lodge,Sheoak Lodge,"Towers ROAD, MILLICENT, SA, 5280","51 Mount Gambier Rd, Millicent SA 5280, Australia",60,60
Para Hills Residential Care,Para Hills Residential Care,"50 Kesters ROAD, PARA HILLS, SA, 5096","Para Hills Nursing Home, 50 Kesters Rd, Para Hills West SA 5096, Australia",60,60
Hetti Perkins,Hetti Perkins,"2 Percy COURT, ALICE SPRINGS, NT, 0870","9 Percy Ct, Alice Springs NT 0870, Australia",60,60
Moline House,Amana Living Moline House,"7 Deanmore ROAD, KARRINYUP, WA, 6018","7 Deanmore Rd, Karrinyup WA 6018, Australia",60,60
Bethanie Edinboro,Bethanie Edinboro,"130 Edinboro STREET, JOONDANNA, WA, 6060","Unit 5/9 Osborne St, Joondanna WA 6060, Australia",60,60
Little Sisters of the Poor Glendalough Home,Little Sisters of the Poor Glendalough Home,"2 Rawlins STREET, GLENDALOUGH, WA, 6016","2 Rawlins St, Glendalough WA 6016, Australia",60,60
Lady McCusker Home,Amana Living Lady McCusker Home,"27 Beddi ROAD, DUNCRAIG, WA, 6023","27 Beddi Rd, Duncraig WA 6023, Australia",60,60
Agmaroy Nursing Home,Agmaroy Nursing Home,"115 Leach HIGHWAY, WILSON, WA, 6107","Agmaroy Nursing Home, 115 Leach Hwy, Wilson WA 6107, Australia",60,60
Calvary Barongarook Gardens,Calvary Barongarook Gardens,"8-32 Murray STREET, COLAC, VIC, 3250","10 Murray St, Colac VIC 3250, Australia",60,60
Uniting Salamander Bay,Uniting Salamander Bay,"4 Muller STREET, SALAMANDER BAY, NSW, 2317","4 Muller St, Salamander Bay NSW 2317, Australia",60,60
Lifeview The Willows,Lifeview The Willows,"171-175 Jells ROAD, WHEELERS HILL, VIC, 3150","171-175 Jells Rd, Wheelers Hill VIC 3150, Australia",60,60
Lifeview Emerald Glades,Lifeview Emerald Glades,"15 Emerald Monbulk ROAD, EMERALD, VIC, 3782","15 Emerald-Monbulk Rd, Emerald VIC 3782, Australia",60,60
Bupa Barrabool,Bupa Barrabool,"55 Barrabool ROAD, BELMONT, VIC, 3216","55 Barrabool Rd, Belmont VIC 3216, Australia",60,60
Beechworth Health Service Residential Care Program,Beechworth Health Service Residential Care Program,"52 Sydney ROAD, BEECHWORTH, VIC, 3747","52 Sydney Rd, Beechworth VIC 3747, Australia",60,60
Glanville Village,Glanville Village,"66 Haverfield STREET, ECHUCA, VIC, 3564","66 Haverfield St, Echuca VIC 3564, Australia",60,60
McCracken Views Residential Care,McCracken Views Residential Care,"31 Adelaide ROAD, VICTOR HARBOR, SA, 5211","31 Adelaide Rd, McCracken SA 5211, Australia",60,60
Uniting AgeWell Queenborough Rise,Uniting AgeWell Queenborough Rise,"1 Peel STREET, SANDY BAY, TAS, 7005","Queenborough Rise, 3 Peel St, Sandy Bay TAS 7005, Australia",60,60
Catholic Healthcare Our Lady of Loreto Gardens,Catholic Healthcare Our Lady of Loreto Gardens,"1 Minnesota ROAD, HAMLYN TERRACE, NSW, 2259","Loreto Gardens Aged Care, 1 Minnesota Rd, Hamlyn Terrace NSW 2259, Australia",60,60
Bolton Clarke Talbarra,Bolton Clarke Talbarra,"130-150 Old Logan Village ROAD, WATERFORD, QLD, 4133","130-150 Old Logan Village Rd, Waterford QLD 4133, Australia",60,60
Carinya House,Carinya House,"1A Mills ROAD, GLENHAVEN, NSW, 2156","Glenhaven Gardens, 1A Mills Rd, Glenhaven NSW 2156, Australia",60,60
Groves House,Groves House,"131 Main ROAD, CARDIFF HEIGHTS, NSW, 2285","131 Main Rd, Cardiff Heights NSW 2285, Australia",60,60
Fronditha Lower Templestowe,Fronditha Lower Templestowe,"11 OMAR STREET, TEMPLESTOWE LOWER, VIC, 3107","11 Omar St, Templestowe Lower VIC 3107, Australia",60,60
Wintringham Ron Conn Nursing Home,Wintringham Ron Conn Nursing Home,"33 Westminster DRIVE, AVONDALE HEIGHTS, VIC, 3034","33 Westminster Dr, Avondale Heights VIC 3034, Australia",60,60
Calvary Cordelia Grove,Calvary Cordelia Grove,"5 Weir STREET, ANGLESEA, VIC, 3230","5 Weir St, Anglesea VIC 3230, Australia",60,60
Northern Gardens Aged Care,Northern Gardens Aged Care,"827-867 SYDNEY ROAD, COBURG NORTH, VIC, 3058","867 Sydney Rd, Coburg North VIC 3058, Australia",60,60
Wintringham Eunice Seddon Home,Wintringham Eunice Seddon Home,"34 Potter STREET, DANDENONG, VIC, 3175","32-42 Potter St, Dandenong VIC 3175, Australia",60,60
IRT Macarthur,IRT Macarthur,"1 Hyde PARADE, CAMPBELLTOWN, NSW, 2560","1 Hyde Parade, Campbelltown NSW 2560, Australia",60,60
Southern Cross Care Stretton Gardens,Southern Cross Care Stretton Gardens,"209-225 Illaweena STREET, DREWVALE, QLD, 4116","209 Illaweena St, Drewvale QLD 4116, Australia",60,60
ACH Group Residential Care - ViTA,ACH Group Residential Care - ViTA,"17 Rockville AVENUE, DAW PARK, SA, 5041","17 Rockville Ave, Daw Park SA 5041, Australia",60,60
Benjamin Short Grove,Benjamin Short Grove,"130 Huntley ROAD, ORANGE, NSW, 2800","130 Huntley Rd, Orange NSW 2800, Australia",60,60
IRT Woodlands,IRT Woodlands,"22 Lacebark STREET, MERIDAN PLAINS, QLD, 4551","22 Lacebark St, Meridan Plains QLD 4551, Australia",60,60
Mekong Cairnlea Vietnamese Aged Care,Mekong Cairnlea Vietnamese Aged Care,"133 Cairnlea DRIVE, CAIRNLEA, VIC, 3023","133 Cairnlea Dr, Cairnlea VIC 3023, Australia",60,60
Aurrum Brunswick,Estia Health Brunswick West,"17 Egginton STREET, BRUNSWICK WEST, VIC, 3055","17 Egginton St, Brunswick West VIC 3055, Australia",60,60
Calvary The Highbury,Calvary The Highbury,"684 Highbury ROAD, GLEN WAVERLEY, VIC, 3150","684-692 Highbury Rd, Glen Waverley VIC 3150, Australia",60,60
HammondCare Mason,HammondCare Mason,"19 Kiama STREET, MIRANDA, NSW, 2228","19 Kiama St, Miranda NSW 2228, Australia",60,60
Bill Newton VC Gardens,Bill Newton VC Gardens,"28 A Lansdowne DRIVE, DUBBO, NSW, 2830","28A Lansdowne Dr, Dubbo NSW 2830, Australia",60,60
Peter Badcoe VC House,Peter Badcoe VC House,"510 King STREET, NEWCASTLE, NSW, 2300","510 King St, Newcastle West NSW 2302, Australia",60,60
NA,Regis Camberwell,NA,"1 Quinton Rd, Camberwell VIC 3124, Australia",NA,60
NA,Edenfield Family Care West Park,NA,"7 Partridge St, Goolwa SA 5214, Australia",NA,60
NA,Estia Health Wyoming,NA,"80 Chamberlain Rd, Wyoming NSW 2250, Australia",NA,60
Anglicare Lemongrove Gardens,Anglicare Lemongrove Gardens,"32 Gascoigne STREET, PENRITH, NSW, 2750","32 Gascoigne St, Penrith NSW 2750, Australia",59,59
BaptistCare Niola Centre,BaptistCare Niola Centre,"29 Bushman STREET, PARKES, NSW, 2870","Niola, 29 Bushman St, Parkes NSW 2870, Australia",59,59
Bolton Clarke Calare (PKA - Calare Residential Aged Care Facility),Bolton Clarke Calare (PKA - Calare Residential Age,"124 March STREET, ORANGE, NSW, 2800","124 March St, Orange NSW 2800, Australia",59,59
Eventide Lutheran Homes,Eventide Lutheran Homes,"72 Ballarat ROAD, HAMILTON, VIC, 3300","Eventide Homes, 72 Ballarat Rd, Hamilton VIC 3300, Australia",59,59
Bolton Clarke Pioneers,Bolton Clarke Pioneers,"1 Sparrow STREET, LONGREACH, QLD, 4730","1 Sparrow St, Longreach QLD 4730, Australia",59,59
Bupa Campbelltown,Bupa Campbelltown,"1 Steele STREET, CAMPBELLTOWN, SA, 5074","1 Steele St, Campbelltown SA 5074, Australia",59,59
Edenfield Family Care,Edenfield Family Care,"20-36 Gardenia DRIVE, PARAFIELD GARDENS, SA, 5107","20-36 Gardenia Dr, Parafield Gardens SA 5107, Australia",59,59
Yeltana Nursing Home,Yeltana Nursing Home,"25 Newton STREET, WHYALLA, SA, 5600","25 Newton St, Whyalla SA 5600, Australia",59,59
Havilah on Palmerston,Havilah on Palmerston,"25 Palmerston STREET, MARYBOROUGH, VIC, 3465","25 Palmerston St, Maryborough VIC 3465, Australia",59,59
Aruma Lodge,Aruma Lodge,"Beryl Street, Beryl STREET, BROKEN HILL, NSW, 2880","Beryl St, Broken Hill NSW 2880, Australia",58,58
Southern Cross Care Daceyville Residential Aged Care,Southern Cross Care Daceyville Residential Aged Ca,"1-3 Gwea AVENUE, DACEYVILLE, NSW, 2032","1-3 Gwea Ave, Daceyville NSW 2032, Australia",58,58
Turramurra House Nursing Home,Turramurra House Nursing Home,"34 Curagul ROAD, NORTH TURRAMURRA, NSW, 2074","Turramurra House, 34 Curagul Rd, North Turramurra NSW 2074, Australia",58,58
St Ezekiel Moreno Nursing Home,St Ezekiel Moreno Nursing Home,"77-79 Cheltenham ROAD, CROYDON, NSW, 2132","77-79 Cheltenham Rd, Croydon NSW 2132, Australia",58,58
Hillview Bunyip Aged Care Inc,Hillview Bunyip Aged Care Inc,"22 Abeckett ROAD, BUNYIP, VIC, 3815","22 Abeckett Rd, Bunyip VIC 3815, Australia",58,58
Doutta Galla Lynch's Bridge Aged Care Facility,Doutta Galla Lynch's Bridge Aged Care Facility,"44 Market STREET, KENSINGTON, VIC, 3031","44 Market St, Kensington VIC 3031, Australia",58,58
Regis Sandringham,Regis Sandringham,"37 Bay ROAD, SANDRINGHAM, VIC, 3191","Regis Sandringham, 37 Bay Rd, Sandringham VIC 3191, Australia",58,58
Glen Waverley Nursing Home,Estia Health Glen Waverley,"982 High Street ROAD, GLEN WAVERLEY, VIC, 3150","2B Grace St, Glen Waverley VIC 3150, Australia",49,58
Wheller Gardens - Emmaus Village,Wheller Gardens - Emmaus Village,"930 Gympie ROAD, CHERMSIDE, QLD, 4032","930 Gympie Rd, Chermside QLD 4032, Australia",58,58
Lourdes Valley The Lodge Residential Care,Lourdes Valley The Lodge Residential Care,"18 Cross ROAD, MYRTLE BANK, SA, 5064","18 Cross Rd, Myrtle Bank SA 5064, Australia",58,58
Loxton District Nursing Home,Loxton District Nursing Home,"Drabsch STREET, LOXTON, SA, 5333","1 Drabsch St, Loxton SA 5333, Australia",58,58
Burswood Care Gwen Hardie Lodge,Burswood Care Gwen Hardie Lodge,"67 Mermaid AVENUE, EMU POINT, WA, 6330","Gwen Hardie Lodge, 67 Mermaid Ave, Emu Point WA 6330, Australia",58,58
Braemar House,Braemar House,"10 Windsor ROAD, EAST FREMANTLE, WA, 6158","Braemar House, 10 Windsor Rd, East Fremantle WA 6158, Australia",58,58
RFBI Raleigh Urunga Masonic Village,RFBI Raleigh Urunga Masonic Village,"102 Old Pacific HIGHWAY, RALEIGH, NSW, 2454","191 Old Pacific Hwy, Raleigh NSW 2454, Australia",58,58
Bolton Clarke Templestowe Manor,Bolton Clarke Templestowe Manor,"410-418 Thompsons ROAD, TEMPLESTOWE LOWER, VIC, 3107","410-418 Thompsons Rd, Templestowe Lower VIC 3107, Australia",58,58
St Basil's Kogarah,St Basil's Kogarah,"18-20 Garden STREET, KOGARAH, NSW, 2217","18-20 Garden St, Kogarah NSW 2217, Australia",57,57
The Whiddon Group - Narrabri - Jessie Hunt,Whiddon Narrabri Jessie Hunt,"84 Gibbons STREET, NARRABRI, NSW, 2390","Jessie Hunt Nursing Home, 84 Gibbons St, Narrabri NSW 2390, Australia",57,57
Latvian Aged Care Facility,Latvian Aged Care Facility,"60 Fraser CRESCENT, WANTIRNA SOUTH, VIC, 3152","60 Fraser Cres, Wantirna South VIC 3152, Australia",57,57
Pine Lodge Home for the Aged,Pine Lodge Home for the Aged,"18 Balham ROAD, ROCKLEA, QLD, 4106","18 Balham Rd, Rocklea QLD 4106, Australia",57,57
TriCare Pt Vernon Aged Care Residence,TriCare Pt Vernon Aged Care Residence,"193 Esplanade POINT VERNON, QLD, 4655","193 Esplanade, Point Vernon QLD 4655, Australia",57,57
Dunbar Homes Salisbury,Dunbar Homes Salisbury,"11 Mawson ROAD, SALISBURY, SA, 5108","Dunbar Homes Inc, 11 Mawson Rd, Salisbury SA 5108, Australia",57,57
Joseph Cooke House,Joseph Cooke House,"2 Houtmans STREET, SHELLEY, WA, 6148","2 Houtmans St, Rossmoyne WA 6148, Australia",57,57
Juniper Hilltop,Juniper Hilltop,"Rowethorpe,, 4-10 Hayman ROAD, BENTLEY, WA, 6102","Vickery House, 4-10 Hayman Rd, Bentley WA 6102, Australia",57,57
Anglican Care Scenic Lodge Merewether,Anglican Care Scenic Lodge Merewether,"251 Scenic DRIVE, MEREWETHER, NSW, 2291","251 Scenic Dr, Merewether NSW 2291, Australia",57,57
HammondCare - Wahroonga,HammondCare - Wahroonga,"3-9 Woonona AVENUE,  SOUTH, WAHROONGA, NSW, 2076","3 Woonona Ave, Wahroonga NSW 2076, Australia",57,57
The Whiddon Group - Belmont,Whiddon Belmont,"10 Gibson STREET, BELMONT, NSW, 2280","Lake Macquarie Ret Vlge, 10 Gibson St, Belmont NSW 2280, Australia",56,56
Glenwood Nursing Home,Glenwood Nursing Home,"34 Greenwich ROAD, GREENWICH, NSW, 2065","34 Greenwich Rd, Greenwich NSW 2065, Australia",56,56
Catholic Healthcare Lewisham Nursing Home,Catholic Healthcare Lewisham Nursing Home,"1B Thomas STREET, LEWISHAM, NSW, 2049","1B Thomas St, Lewisham NSW 2049, Australia",56,56
Baptcare - Northaven Community,Baptcare - Northaven Community,"84-86 Shadforth STREET, KERANG, VIC, 3579","84-86 Shadforth St, Kerang VIC 3579, Australia",56,56
Villa St Hilarion-Fulham,Villa St Hilarion-Fulham,"21 FARNCOMB ROAD, FULHAM, SA, 5024","St Hilarion Hostel, 21 Farncomb Rd, Fulham SA 5024, Australia",56,56
Copperhouse Court Hostel,Copperhouse Court Hostel,"43 A Flinders AVENUE, WHYALLA STUART, SA, 5608","43A Flinders Ave, Whyalla Stuart SA 5608, Australia",56,56
Bolton Clarke Carinya,Bolton Clarke Carinya,"39 Fisher STREET, MYRTLE BANK, SA, 5064","Carinya Nursing Home, 39 Fisher St, Myrtle Bank SA 5064, Australia",56,56
The Gardens,The Gardens,"2-4 Mitcham ROAD, CLAREMONT, TAS, 7011","2-4 Mitcham Rd, Claremont TAS 7011, Australia",56,56
Guilford Young Grove,Guilford Young Grove,"13 St Canice AVENUE, SANDY BAY, TAS, 7005","13 St Canice Ave, Sandy Bay TAS 7005, Australia",56,56
Advantaged Care at Bondi Waters,Advantaged Care at Bondi Waters,"47-51 O'Brien STREET, BONDI, NSW, 2026","47-51 O'Brien St, Bondi Beach NSW 2026, Australia",56,56
Karlarra House,Karlarra House,"200 Forrest CIRCLE, SOUTH HEDLAND, WA, 6722","200 Forrest Cir, South Hedland WA 6722, Australia",56,56
Murray Haven Hostel,Murray Haven Hostel,"98 Punt ROAD, BARHAM, NSW, 2732","Murray Haven, 98 Punt Rd, Barham NSW 2732, Australia",55,55
Southern Cross Care Cootamundra Residential Aged Care,Southern Cross Care Cootamundra Residential Aged C,"Scott AVENUE, COOTAMUNDRA, NSW, 2590","Scott Ave, Cootamundra NSW 2590, Australia",55,55
Catholic Healthcare Coolamon Villa,Catholic Healthcare Coolamon Villa,"1-3 Azalea STREET, MULLUMBIMBY, NSW, 2482","1 Reservoir Rd, Mullumbimby NSW 2482, Australia",55,55
Catholic Healthcare Macquarie Care Centre,Catholic Healthcare Macquarie Care Centre,"35 Russell STREET, BATHURST, NSW, 2795","35 Russell St, Bathurst NSW 2795, Australia",55,55
Calvary Henley Manor,Calvary Henley Manor,"84 Earle STREET, DOONSIDE, NSW, 2767","84 Earle St, Doonside NSW 2767, Australia",55,55
Garden View Nursing Home,Garden View Nursing Home,"124 PATON STREET, MERRYLANDS WEST, NSW, 2160","Garden View Nursing Home, 124 Paton St, Merrylands West NSW 2160, Australia",55,55
Sirius Cove Nursing Home,Sirius Cove Nursing Home,"17 Clanalpine STREET, MOSMAN, NSW, 2088","Sirius Cove Nursing Home, 17 Clanalpine St, Mosman NSW 2088, Australia",55,55
MiCare Overbeek Lodge,MiCare Overbeek Lodge,"736 Mt Dandenong ROAD, KILSYTH, VIC, 3137","736 Mt Dandenong Rd, Kilsyth VIC 3137, Australia",55,55
Estia Health Ardeer,Estia Health Ardeer,"30 North STREET, ARDEER, VIC, 3022","30 North St, Ardeer VIC 3022, Australia",55,55
McLean Care Yallambee,McLean Care Yallambee,"34-40 Margaret STREET, MILLMERRAN, QLD, 4357","34-40 Margaret St, Millmerran QLD 4357, Australia",55,55
St Louis Nursing Home,St Louis Nursing Home,"21 Foster STREET, PARKSIDE, SA, 5063","21 Foster St, Parkside SA 5063, Australia",55,55
Germanus Kent House,Germanus Kent House,"20 Dickson DRIVE, BROOME, WA, 6725","20 Dickson Dr, Broome WA 6725, Australia",55,55
Medea Park Nursing Home,Medea Park Nursing Home,"17 Circassian STREET, ST HELENS, TAS, 7216","17 Circassian St, St Helens TAS 7216, Australia",55,55
Uniting Kari Court St Ives,Uniting Kari Court St Ives,"251-257 Mona Vale ROAD, ST IVES, NSW, 2075","251-257 Mona Vale Rd, St Ives NSW 2075, Australia",55,55
The Whiddon Group - Narrabri - Robert Young,Whiddon Narrabri Robert Young,"Cameron STREET, NARRABRI, NSW, 2390","Cameron St, Narrabri NSW 2390, Australia",54,54
Narraweena Grove Care Community,Narraweena Grove Care Community,"71A Mcintosh ROAD, NARRAWEENA, NSW, 2099","Palm Grove Nursing Home, 71A McIntosh Rd, Narraweena NSW 2099, Australia",54,54
Estia Health Knoxfield,Estia Health Knoxfield,"428 Scoresby ROAD, KNOXFIELD, VIC, 3180","428 Scoresby Rd, Ferntree Gully VIC 3156, Australia",54,54
Bolton Clarke Trevi Court,Bolton Clarke Trevi Court,"95 Bulla ROAD, ESSENDON, VIC, 3040","95 Bulla Rd, Essendon VIC 3040, Australia",54,54
Royal Freemasons Footscray,Royal Freemasons Footscray,"25 Mephan STREET, FOOTSCRAY, VIC, 3011","Footscray Society Aged, 25 Mephan St, Footscray VIC 3011, Australia",54,54
Blue Care Kallangur Pilgrim Aged Care Facility,Blue Care Kallangur Pilgrim Aged Care Facility,"40 Narangba ROAD, KALLANGUR, QLD, 4503","Kallmar Units, 40 Narangba Rd, Kallangur QLD 4503, Australia",54,54
PM Aged Care,PM Aged Care,"1929 Gympie ROAD, BALD HILLS, QLD, 4036","1929 Gympie Rd, Bald Hills QLD 4036, Australia",54,54
The Churchill Retreat,The Churchill Retreat,"470 Churchill ROAD, KILBURN, SA, 5084","Churchill Retreat, 470 Churchill Rd, Kilburn SA 5084, Australia",54,54
Rose Court Aged Care Facility,Rose Court Aged Care Facility,"3 Grant AVENUE, GILLES PLAINS, SA, 5086","3 Grant Ave, Gilles Plains SA 5086, Australia",54,54
MercyCare Rockingham,MercyCare Rockingham,"1 Tanby PLACE, COOLOONGUP, WA, 6168","1 Tanby Pl, Cooloongup WA 6168, Australia",54,54
Mandurah Coast Care Community,Mandurah Coast Care Community,"83 BOUNDARY ROAD, DUDLEY PARK, WA, 6210","Murray River Nursing Home, 83 Boundary Rd, Dudley Park WA 6210, Australia",54,54
BlueCross Oakleigh,Oakleigh Manor Care Community,"1055 Centre ROAD, OAKLEIGH SOUTH, VIC, 3167","1055-1061 Centre Rd, Oakleigh South VIC 3167, Australia",54,54
RFBI Moonbi Masonic Village - Jim Holm,RFBI Moonbi Masonic Village - Jim Holm,"New England HIGHWAY, KOOTINGAL, NSW, 2352","New England Hwy, Kootingal NSW 2352, Australia",53,53
Shangri-La Nursing Home,Shangri-La Nursing Home,"107 Carrington AVENUE, HURSTVILLE, NSW, 2220","107 Carrington Ave, Hurstville NSW 2220, Australia",53,53
Lady Of Grace Nursing Home,Twilight Grace Gardens,"454 Old Northern ROAD, DURAL, NSW, 2158","454 Old Northern Rd, Dural NSW 2158, Australia",53,53
RFBI Holt Masonic Village,RFBI Holt Masonic Village,"138 Hardwick CRESCENT, HOLT, ACT, 2615","Kalparrin Hostel, 138 Hardwick Cres, Holt ACT 2615, Australia",53,53
Lakeview Lodge Hostel,Lakeview Lodge Hostel,"22 Church STREET, NAGAMBIE, VIC, 3608","Nagambie Health Independant Living Units, 22 Church St, Nagambie VIC 3608, Australia",53,53
Arcare Surrey Hills,Arcare Surrey Hills,"18 Florence ROAD, SURREY HILLS, VIC, 3127","18 Florence Rd, Surrey Hills VIC 3127, Australia",53,53
Sinnamon Village - Knowles Court,Sinnamon Village - Knowles Court,"620 Seventeen Mile Rocks ROAD, SINNAMON PARK, QLD, 4073","Sinnamon Village, 620 Seventeen Mile Rocks Rd, Sinnamon Park QLD 4073, Australia",53,53
Eldercare Sash Ferguson,Eldercare Sash Ferguson,"8 Fletcher ROAD, MOUNT BARKER, SA, 5251","8 Fletcher Rd, Mount Barker SA 5251, Australia",53,53
Wheatfields Incorporated,Wheatfields Incorporated,"8 Cherry STREET, FREELING, SA, 5372","21 Hanson St, Freeling SA 5372, Australia",53,53
Kensington Park Nursing Home,Kensington Park Nursing Home,"62 Gwenyfred ROAD, KENSINGTON, WA, 6151","Park Nursing Home, 62 Gwenyfred Rd, Kensington WA 6151, Australia",53,53
NA,Estia Health Norah Head,NA,"60 Soldiers Point Dr, Norah Head NSW 2263, Australia",NA,53
NA,Catholic Healthcare St Francis Aged Care - Orange,NA,"85-89 Clinton St, Orange NSW 2800, Australia",NA,53
Catholic Healthcare St Joseph Aged Care,Catholic Healthcare St Joseph Aged Care,"41 Gladesville ROAD, HUNTERS HILL, NSW, 2110","41 Gladesville Rd, Hunters Hill NSW 2110, Australia",52,52
Uniting Bruce Sharpe Rockdale,Uniting Bruce Sharpe Rockdale,"110 Frederick STREET, ROCKDALE, NSW, 2216","Bruce Sharpe Lodge, 110 Frederick St, Rockdale NSW 2216, Australia",52,52
Belmore Place Care Community,Belmore Place Care Community,"35 Yerrick ROAD, LAKEMBA, NSW, 2195","Wallgrove Aged Care Fclty, 35 Yerrick Rd, Lakemba NSW 2195, Australia",52,52
Mercy Place Templestowe,Mercy Place Templestowe,"16 Herlihys ROAD, TEMPLESTOWE LOWER, VIC, 3107","16 Herlihys Rd, Templestowe Lower VIC 3107, Australia",52,52
Coptic Hostel,Coptic Hostel,"18 St Kyrillos PLACE, NARRE WARREN, VIC, 3805","18 St Kyrillos Pl, Hallam VIC 3805, Australia",52,52
Moyne Health Services-Moyneyana House,Moyne Health Services-Moyneyana House,"31 COLLEGE STREET, PORT FAIRY, VIC, 3284","31 College St, Port Fairy VIC 3284, Australia",52,52
Villa Del Sole,Villa Del Sole,"73 William STREET, GLENROY, VIC, 3046","73 William St, Glenroy VIC 3046, Australia",52,52
Churches of Christ Palms Aged Care Service,Churches of Christ Palms Aged Care Service,"59 Sir Arthur Fadden PARADE, INGHAM, QLD, 4850","59 Sir Arthur Fadden Parade, Ingham QLD 4850, Australia",52,52
Sinnamon Village - Reid Court,Sinnamon Village - Reid Court,"620 Seventeen Mile Rocks ROAD, SINNAMON PARK, QLD, 4073","Sinnamon Village, 620 Seventeen Mile Rocks Rd, Sinnamon Park QLD 4073, Australia",52,52
Central & Upper Burnett District Home for the Aged Nursing Home,Central & Upper Burnett District Home for the Aged,"46-48 Capper STREET, GAYNDAH, QLD, 4625","46 Capper St, Gayndah QLD 4625, Australia",52,52
Walara Hamley Bridge,Walara Hamley Bridge,"19 Albert STREET, HAMLEY BRIDGE, SA, 5401","Hamley Bridge Hospital, Hamley Bridge Mem Hospital, 19 Albert St, Hamley Bridge SA 5401, Australia",52,52
Longridge Aged Care,Longridge Aged Care,"900 Attiwill STREET, NARACOORTE, SA, 5271","900 Attiwill St, Naracoorte SA 5271, Australia",52,52
Warrina Park Residential Aged Care Service,Warrina Park Residential Aged Care Service,"59 George STREET, PARADISE, SA, 5075","Warrina Park Paradise, 59 George St, Paradise SA 5075, Australia",52,52
Bene Aged Care - St Clair,Bene Aged Care - St Clair,"2 Jelley STREET, WOODVILLE, SA, 5011","Res Aged Care, 2 Jelley St, Woodville SA 5011, Australia",52,52
Braemar Village,Braemar Village,"24-32 Charsley STREET, WILLAGEE, WA, 6156","24 Charsley St, Willagee WA 6156, Australia",52,52
Juniper Trinity,Juniper Trinity,"4 Hayman ROAD, BENTLEY, WA, 6102","Vickery House, 4-10 Hayman Rd, Bentley WA 6102, Australia",52,52
Belmont Community Nursing Home,Belmont Community Nursing Home,"14 Cleaver STREET, RIVERVALE, WA, 6103","14 Cleaver Terrace, Rivervale WA 6103, Australia",52,52
McDougall Park Nursing Home,McDougall Park Nursing Home,"18 Ley STREET, COMO, WA, 6152","McDougall Park Nursing Home, 18 Ley St, Como WA 6152, Australia",52,52
Hawthorn Village,Hawthorn Village,"23A Wells PARADE, BLACKMANS BAY, TAS, 7052","23A Wells Parade, Blackmans Bay TAS 7052, Australia",52,52
Blue Care Gladstone Edenvale Aged Care Facility,Blue Care Gladstone Edenvale Aged Care Facility,"41 Glen Eden DRIVE, GLEN EDEN, QLD, 4680","41 Glen Eden Dr, Glen Eden QLD 4680, Australia",52,52
NA,mecwacare Long Gully,NA,"9 Brown St, Long Gully VIC 3550, Australia",NA,52
Catholic Healthcare St John's Villa,Catholic Healthcare St John's Villa,"222 Kings ROAD, NEW LAMBTON, NSW, 2305","222 Kings Rd, New Lambton NSW 2305, Australia",51,51
St Simeon Village,St Simeon Village,"261 Hyatts ROAD, ROOTY HILL, NSW, 2766","261 Hyatts Rd, Plumpton NSW 2761, Australia",51,51
Fairlea Aged Care @ Rosehill,Fairlea Aged Care @ Rosehill,"145 GOOD STREET, ROSEHILL, NSW, 2142","145 Good St, Rosehill NSW 2142, Australia",51,51
Carino Care at Rockdale,Carino Care at Rockdale,"22 Woodford ROAD, BANKSIA, NSW, 2216","20 Woodford Rd, Rockdale NSW 2216, Australia",51,51
Bayview Treetops Care Community,Bayview Treetops Care Community,"10 A Minkara ROAD, BAYVIEW, NSW, 2104","10A Minkara Rd, Bayview NSW 2104, Australia",51,51
Laurina Lodge Hostel,Laurina Lodge Hostel,"1 ELEANOR STREET, HEYFIELD, VIC, 3858","1 Eleanor St, Heyfield VIC 3858, Australia",51,51
mecwacare Ballan Aged Care Facility,mecwacare Ballan Aged Care Facility,"168 Inglis STREET, BALLAN, VIC, 3342","33 Cowie St, Ballan VIC 3342, Australia",51,51
Uniting AgeWell Kalkee Murray,Uniting AgeWell Kalkee Nangatta,"9 Spring STREET, BELMONT, VIC, 3216","206 High St, Belmont VIC 3216, Australia",40,51
Andrews House,Andrews House,"42 School ROAD, TRAFALGAR, VIC, 3824","42 School Rd, Trafalgar VIC 3824, Australia",51,51
Little Sisters of the Poor St Joseph's Home,Little Sisters of the Poor St Joseph's Home,"112B St Georges ROAD, NORTHCOTE, VIC, 3070","St Joseph's Home, 112B St Georges Rd, Northcote VIC 3070, Australia",51,51
Cooinda Lodge Nursing Home,Cooinda Lodge Nursing Home,"41 Landsborough STREET, WARRAGUL, VIC, 3820","Fairview Village, 41 Landsborough St, Warragul VIC 3820, Australia",51,51
